Animal_ID,rep,cage,sex,hour,day,body_temp,weight,delta_temp,delta_weight,H2O,trt
1081,4,3,Male,0,1,36.2,27.604,0,0,no,M_no
1132,4,4,Male,0,1,36.1,24.329,0,0,no,M_no
1178,4,5,Male,0,1,35.4,22.214,0,0,no,M_no
1127,4,0,Male,24,2,35.3,23.435,0,-0.056,yes,M_yes
1119,4,1,Male,24,2,35.5,22.755,0,0.624,yes,M_yes
1158,4,2,Male,24,2,36.5,19.226,0.7,-0.25,yes,M_yes
1081,4,3,Male,24,2,35.8,25.039,-0.4,-2.565,no,M_no
1132,4,4,Male,24,2,35.5,22.221,-0.6,-2.108,no,M_no
1178,4,5,Male,24,2,34.8,18.573,-0.6,-3.641,no,M_no
1127,4,0,Male,48,3,35.4,23.749,0.1,0.314,yes,M_yes
1119,4,1,Male,48,3,36.3,22.028,0.8,-0.727,yes,M_yes
1158,4,2,Male,48,3,36.2,18.938,-0.3,-0.288,yes,M_yes
1081,4,3,Male,48,3,36.4,23.404,0.6,-1.635,no,M_no
1132,4,4,Male,48,3,35.8,20.535,0.3,-1.686,no,M_no
1178,4,5,Male,48,3,35.4,17.171,0.6,-1.402,no,M_no
1127,4,0,Male,72,4,35.6,23.869,0.2,0.12,yes,M_yes
1119,4,1,Male,72,4,36.5,22.194,0.2,0.166,yes,M_yes
1158,4,2,Male,72,4,36.1,19.022,-0.1,0.084,yes,M_yes
1081,4,3,Male,72,4,37.9,21.832,1.5,-1.572,no,M_no
1132,4,4,Male,72,4,36.9,19.62,1.1,-0.915,no,M_no
1178,4,5,Male,72,4,35.3,15.998,-0.1,-1.173,no,M_no
1105,5,0,Male,0,1,35.4,20.364,0,0,yes,M_yes
1089,5,1,Male,0,1,35.7,26.076,0,0,yes,M_yes
1192,5,2,Male,0,1,35.2,23.101,0,0,yes,M_yes
2001,5,3,Male,0,1,35.7,19.952,0,0,no,M_no
1169,5,4,Male,0,1,35.7,22.034,0,0,no,M_no
1071,5,5,Male,0,1,34.9,23.327,0,0,no,M_no
1105,5,0,Male,24,2,35.5,20.417,0.1,0.053,yes,M_yes
1089,5,1,Male,24,2,35.8,25.644,0.1,-0.432,yes,M_yes
1192,5,2,Male,24,2,35.5,23.604,0.3,0.503,yes,M_yes
2001,5,3,Male,24,2,35.4,17.884,-0.3,-2.068,no,M_no
1169,5,4,Male,24,2,35.7,19.109,0,-2.925,no,M_no
1071,5,5,Male,24,2,34.7,20.71,-0.2,-2.617,no,M_no
1105,5,0,Male,48,3,36.1,20.621,0.6,0.204,yes,M_yes
1089,5,1,Male,48,3,35.6,26.105,-0.2,0.461,yes,M_yes
1192,5,2,Male,48,3,35.5,23.393,0,-0.211,yes,M_yes
2001,5,3,Male,48,3,36.5,16.272,1.1,-1.612,no,M_no
1169,5,4,Male,48,3,35.4,17.272,-0.3,-1.837,no,M_no
1071,5,5,Male,48,3,34.5,19.163,-0.2,-1.547,no,M_no
1105,5,0,Male,72,4,36.2,20.711,0.1,0.09,yes,M_yes
1089,5,1,Male,72,4,35.6,25.877,0,-0.228,yes,M_yes
1192,5,2,Male,72,4,35.7,23.134,0.2,-0.259,yes,M_yes
2001,5,3,Male,72,4,34.7,14.59,-1.8,-1.682,no,M_no
1169,5,4,Male,72,4,35.7,15.693,0.3,-1.579,no,M_no
1071,5,5,Male,72,4,34.9,17.88,0.4,-1.283,no,M_no
1148,6,0,Male,0,1,35.5,21.749,0,0,yes,M_yes
1138,6,1,Male,0,1,35.4,20.372,0,0,yes,M_yes
1139,6,2,Male,0,1,35.2,23.705,0,0,yes,M_yes
1013,6,3,Male,0,1,35.4,20.438,0,0,no,M_no
1143,6,4,Male,0,1,36.1,19.838,0,0,no,M_no
1173,6,5,Male,0,1,35.4,20.985,0,0,no,M_no
1148,6,0,Male,24,2,35.8,21.278,0.3,-0.471,yes,M_yes
1138,6,1,Male,24,2,36,20.688,0.6,0.316,yes,M_yes
1139,6,2,Male,24,2,36.5,24.051,1.3,0.346,yes,M_yes
1013,6,3,Male,24,2,35.2,18.554,-0.2,-1.884,no,M_no
1143,6,4,Male,24,2,35.2,16.809,-0.9,-3.029,no,M_no
1173,6,5,Male,24,2,36,19.066,0.6,-1.919,no,M_no
1148,6,0,Male,48,3,36.2,21.472,0.4,0.194,yes,M_yes
1138,6,1,Male,48,3,35.5,20.337,-0.5,-0.351,yes,M_yes
1139,6,2,Male,48,3,35.3,23.828,-1.2,-0.223,yes,M_yes
1013,6,3,Male,48,3,36.5,17.199,1.3,-1.355,no,M_no
1143,6,4,Male,48,3,35.1,15.174,-0.1,-1.635,no,M_no
1173,6,5,Male,48,3,36.3,17.774,0.3,-1.292,no,M_no
1148,6,0,Male,72,4,37.6,20.993,1.4,-0.479,yes,M_yes
1138,6,1,Male,72,4,36.2,19.732,0.7,-0.605,yes,M_yes
1139,6,2,Male,72,4,35.4,23.563,0.1,-0.265,yes,M_yes
1013,6,3,Male,72,4,36.5,16.111,0,-1.088,no,M_no
1143,6,4,Male,72,4,33.9,13.964,-1.2,-1.21,no,M_no
1173,6,5,Male,72,4,38,16.646,1.7,-1.128,no,M_no
